x,y
569720.1995664763,6246423.62640525
569722.3562633425,6246432.694038798
569724.1009046275,6246440.566794792
569725.5005859245,6246447.443166734
569726.6224028269,6246453.521648129
569727.5334509284,6246459.000732486
569728.3008258219,6246464.078913306
569728.9857033062,6246468.941371087
569729.6072224358,6246473.678750027
569730.166331762,6246478.340785754
569730.6639070847,6246482.97705029
569731.1008242039,6246487.637115651
569731.4779589194,6246492.370553859
569731.7963619285,6246497.223918415
569732.0594583363,6246502.202783405
569732.2723844458,6246507.283189722
569732.4403143368,6246512.440526264
569732.5684220898,6246517.650181924
569732.6618817851,6246522.887545601
569732.7257062575,6246528.128266522
569732.759833581,6246533.356187255
569732.7582272916,6246538.5647964245
569732.7145082197,6246543.74813596
569732.6222971963,6246548.900247784
569732.475215052,6246554.015173828
569732.2669020498,6246559.086973823
569731.9933497126,6246564.111861525
569731.6551160621,6246569.0902341325
569731.2532837809,6246574.022969494
569730.7889355518,6246578.9109454565
569730.2631540573,6246583.755039873
569729.6770219692,6246588.556131285
569729.031567342,6246593.318528817
569728.3276369763,6246598.057926285
569727.5660401226,6246602.7923760675
569726.747586032,6246607.539930541
569725.8730839553,6246612.318642088
569724.9433431426,6246617.146563085
569723.9595135227,6246622.037737605
569722.9247344593,6246626.982802615
569721.8428654076,6246631.963922708
569720.7177668152,6246636.963250801
569719.5532991305,6246641.962939803
569718.3533228013,6246646.945142626
569717.1217545272,6246651.892937512
569715.8631178535,6246656.799385299
569714.5823065875,6246661.663637603
569713.2842198192,6246666.484932944
569711.973756638,6246671.262509838
569710.6558161342,6246675.995606807
569709.3353685349,6246680.682808187
569708.0190202272,6246685.307652182
569706.7150137593,6246689.838630858
569705.4316628154,6246694.243582099
569704.1772810807,6246698.490343795
569702.9601822402,6246702.546753828
569701.7885969612,6246706.380942171
569700.6649373635,6246709.9815103
569699.5820791521,6246713.370611835
569698.5320140604,6246716.573510498
569697.5067338211,6246719.615470013
569696.4982301667,6246722.521754098
569695.4984924177,6246725.317637375
569694.4977609148,6246728.036293747
569693.4814439897,6246730.732720954
569692.4341225254,6246733.465653921
569691.3403774053,6246736.2938275635
569690.1847895129,6246739.275976807
569688.9519397313,6246742.470836571
569687.6301139096,6246745.924925802
569686.2254816317,6246749.625797401
569684.7496014219,6246753.543235909
569683.2140329033,6246757.647022248
569681.6303356987,6246761.906937339
569680.010069431,6246766.292762106
569678.3653984916,6246770.774444696
569676.713751004,6246775.323388757
569675.0752653528,6246779.911747369
569673.4701023216,6246784.511679802
569671.9184226941,6246789.095345325
569670.4403872539,6246793.634903211
569669.0553042948,6246798.10316483
569667.7676202583,6246802.484309968
569666.5691579564,6246806.772174709
569665.4513390992,6246810.960901962
569664.4055853958,6246815.044634631
569663.4233185558,6246819.017515624
569662.495976712,6246822.873858742
569661.6157418981,6246826.615718679
569660.7758283641,6246830.2558911685
569659.9695263925,6246833.807963122
569659.1901262662,6246837.285521457
569658.4309182676,6246840.702153083
569657.6850903968,6246844.072437596
569656.9202562806,6246847.65916157
569656.044929294,6246852.298697294
569654.9593000594,6246858.908191861
569653.5635591999,6246868.4047923675
569651.7578973382,6246881.705645906
569649.4425050972,6246899.727899575
